comment_text,sentiment
kon kon reel dekh kar aaya hai ,Neutral
who is listening it in july 2025 ,Neutral
2025 ,Neutral
song is not up to mark ,Negative
2050 anyone ,Neutral
2025 ,Neutral
2025 attendance ,Neutral
038 aww this tune makes me more mad and addicticted ,Positive
328 the reason why i love the song ,Positive
this song is a slow poison ,Positive
anyone in 2025 ,Neutral
pppp ,Neutral
me ,Neutral
yar kya gaya h arijit ne 100 time song sun chuka hu still refreshingbhai kamal h voice hai great singer arijit ,Positive
tum jo shirin na kya humko farhad karlo ,Positive
this song deserve 500m views ,Positive
18 video ko bhi love song samjh leta hoo isse achha bhojpuri dekh loon ,Negative
202 wow ,Positive
what a masterpiece ludo yellow green blue red ,Positive
ghaboko jaga 1000 crod ,Positive
after listening to aur mohabbat kitni karoon revisiting to this song feels amazing same great combo of artists arijit pritam sandeep ,Positive
khwaboko jagah na mili ankho me vha phle se he sailab thaheart touching line ,Positive
all time favourite song of arijit ,Positive
nice song ,Positive
june 2025 ,Neutral
ed sheeran really likes indian culture especially punjabis ,Neutral
2025 attendance do ,Neutral
popcorn wala ,Neutral
cham cham arjit lovehate him ,Neutral
arijeet weed ,Neutral
love u song ,Positive
say yes who just was just waiting for atijit’s voice ,Positive
this made me happy for no reason ,Positive
kiya hi song hai yaaar ajj bhi vibe atti hai ,Positive
2025 wale attendance lgaao ,Neutral
june 2025 ,Neutral
june 9 2025 anyone ,Neutral
2025 here ,Neutral
jarurat ho toh pyar hota hai mtlb jarurat bnane ke liye jo pyar mn rakhte hn uska kya rishte mein toh jarurat honr pr value milta h pr pyar mn aisa nhi hota jab samne wala pyar krta hai ya krti hai toh woh jo bolta h ta bolti h krte krte hn ya krba parta hai kyunki woh hamara pyar hota hai pyar mein pucho ke jarurat hn toh bhi nhi batate agr pucho pyar krte ho toh bhi nhi batate hum aakhir kya hn yeh bhi nhi pta hota aur value toh hota hi nhi ,Neutral
evergreen ,Positive
yes yar already my fvrt ,Positive
2025 june ,Neutral
love from india ,Positive
a little more of arijits voicewould have been lit ,Neutral
not only 2025 forever again and again ,Positive
need more part from arijit singh ,Neutral
damn he is so fucking happy ,Positive
6th june 2025 ,Neutral
smile on face throughout the video ,Positive
song ,Neutral
145 ,Neutral
may 2025 ,Neutral
who are after zamana lage ,Neutral
its a masterpiece i dont know why this is so underrated i believe this song is brilliant in terms of lyrics composition and the singer ,Positive
nobody knows the realme ,Neutral
afrer so many days song made my mood good ,Positive
love this song ,Positive
commenting only for abhishek bacchan he was just superb ,Positive
328 is the true pritam style ,Positive
heard this song live in concert of amit trivedi whole crowd was singing in sync amazing ,Positive
who came here after listening zamana of movie metroin dino to feel the charm of anurag basu movies ,Neutral
what a song after a decadethanks for taking us back to sathiya zone ,Positive
329 this line taching heart ,Positive
111822 ,Neutral
mitha sa ye jaher mai pita rahunga ,Positive
khwabo ko jaga na mili akho mein waha pehle se hi saylab tha ,Positive
2050 anyone ,Neutral
fukro ko samarpit lg ra ,Neutral
2025 28 may ,Neutral
nargis after a long while unexpected ,Positive
arijit is one ,Positive
144 ,Neutral
metro movie ki tarha songs in movie me nahi milega ,Neutral
may 2025 anyone ,Neutral
why i didn’t find this song before ,Positive
arijit singh voice ,Positive
may 2025 anyone ,Neutral
realadnan ,Neutral
वो क्या रोय गी मेरे दर्द पे जिसका दिल फ़िदा हो हर मंदृ पे परम सोंग ,Positive
2025 may ,Neutral
she looks like pheobe from friends hai na ,Neutral
150525 ,Neutral
2025 may ,Neutral
any one 13may 2025 ,Neutral
ohhh zara ,Positive
2026 anyone ,Neutral
after 4 years ,Neutral
may 2025 ,Neutral
ye gaana mujhe meri dadi ki baato ki yaad dilata hai after my dadaji ,Positive
current mode ,Neutral
2025 anyone ,Neutral
2025 6th of may anyone ,Neutral
thank god they made the happy ending video ,Positive
love you sammu ,Positive
vibe hai ,Positive
मेरी कोविड कोरेंटाईन मेमोरी ,Neutral
new ,Neutral
i love this song one off the favourite ,Positive
june 2025 ,Neutral
0329 ,Positive
1st may 2025 hai koi ,Neutral
tm jo shireen na hue kya hmko farhaad krdo ,Positive
beautiful song ,Positive
256 me kon si music hai dose anyone know ,Neutral
arijit fans like karooo ,Positive
good movie ,Positive
jesu ,Neutral
april 2025 ,Neutral
329 khwabo ko jagana mili akhon main ,Positive
mushkil aasan hi kardo ,Positive
hellmate chara bike chalache tau abar bachha nea tripple carry hee hee ,Neutral
eh enu kaaam hoy jaan ene kai na laage ,Neutral
face ,Neutral
tane sache yaad nai ,Neutral
bhavyata sathe vaat karu chu pan jan zidd kem ,Neutral
jaan wifey ,Positive
22 april 2025 ,Neutral
on loop cant wait for fawad khan comeback ,Positive
u assam se any time hit rhega ,Positive
its me yaar ,Positive
more jaydeep less saif please ,Neutral
eeeemmuuuaaahhh ,Positive
good song ,Positive
me ,Neutral
257 3april2025 ,Neutral
first time anyone ,Neutral
anyone in april 2025 ,Neutral
bootanabal ,Neutral
any on chandraat 2025 ,Neutral
2090 anyone ,Neutral
now relate this lines to dreams ,Neutral
anyone in march 2025 ,Neutral
कुहू ,Neutral
this song reminds me of him ,Positive
arijit will remain undisputed ,Positive
the best actor here were only 2 rajkumar rao abhishek bachanfor this movie only ,Positive
i am just here because i like the music no emotional drama not trying to relate to this song by any chance neither nostalgia just pure love for the music kudos to the one crying to this song and wasting their present due to their past ,Positive
march 2025 ,Neutral
another vibe ,Positive
leaving a comment just remember me plzzzzzzz ,Neutral
please remind me of this masterpiece by liking my comment ,Positive
oxford mapla caller tune ,Neutral
hai hai i wish full volume se sunda ,Positive
hai hai yeah ganna sun k mene kitna roya tha poor me poor ghasi not money ki baat dill kitna poor hai kh rahe hun poor mebut god is with us no worries ,Positive
if you guys want that imaan then come face to face we are waiting sweg se welcome guri bole ase ,Neutral
my body is not stone we are also eagerly waiting ,Neutral
see again playing come come ,Neutral
intna sailab hai ki pura pani nikal gaya ,Neutral
abhishek was beet ,Positive
2025 anyone ,Neutral
enyone 7march 2025 ,Neutral
mesmesring gana ,Positive
329 ,Positive
luddo my fav flim during covid watched on amazon prime ,Positive
abhishek stole the whole movie in one scene nd nobody can ever deny his acting ever ,Positive
2025 and still stuck here ,Positive
anyone march 2025 ,Neutral
why they dont release the film version kaid me kyu jee rhe hainn ab to aazad kar do thats the best one ,Positive
potrayed hawas and pyar very well ,Positive
what a song ,Positive
2030 anyone ,Neutral
question loyalty kaise honi chahiye rajkumar rao jaisi ,Neutral
they don’t make music and movies like this anymore ,Positive
lyrics ,Positive
2025 ,Neutral
that my golden time when this song released ,Positive
23022025 ,Neutral
arijit ky he ,Positive
im listening on 20022k25 ,Neutral
after lost him ,Neutral
feb 2025 ,Neutral
this song is a gem ,Positive
145 ,Positive
first i watched movie then i sing a song ,Positive
13 february 2025 ,Neutral
anyone in 2025 ,Neutral
meri sanso se judi haiteri har saans keh do ,Positive
10 february 2025 ,Neutral
4 different angles of life ,Positive
anyone 2025 ,Neutral
like my comment soo i can get reminded to listen to this song daily ,Positive
brooo these lines khwabon ko jgh na mili aankhon mein kuch kuch ho gya sun ke ,Positive
1 february 2025 ,Neutral
i lv this ,Positive
0329 hits the ,Positive
this movie is art at its finest ,Positive
everyone talking about the magician arijit but kumars lyrics is ,Positive
geeta babita reunion ,Neutral
aisa gana aaj tak nahi suna hoga ,Positive
2025 anyone ,Neutral
my current mood ,Neutral
well the song ,Positive
arijit is best ,Positive
2050 anyone sudhro re ,Neutral
2025 ,Neutral
still watching this song in 2025 ,Positive
342 yo yo fans assemble here ,Neutral
311 413 yo yo honey fans assemble here ,Neutral
booom love from bangladesh ,Positive
2026 anyonee ,Neutral
2025 ,Neutral
kon kon 2025 ma sun raha ha ,Neutral
yes i search it ,Positive
january 2025 ,Neutral
listening 2025 ,Neutral
one of the best movie ,Positive
2025 attendence here ,Neutral
still best 2025 ,Positive
it’s 2025 and listening ,Neutral
2025 wale attendance deke jana ,Neutral
1st jan25 ,Neutral
who is listening in 1 jan 2025 ,Neutral
2025 ,Neutral
laksh ,Neutral
2025 anyone ,Neutral
2025 anyone ,Neutral
1 jan 2025 ,Neutral
mn newly relationship mn ae hu koi advise dedo achi se ,Neutral
my favourite ,Positive
listening at 0139 am on 01 jan 2025 328 ,Neutral
01january2025 0138 am ,Neutral
one of the favourite ,Positive
28 december ,Neutral
353 i am here for this ,Positive
145 masterpiece ,Positive
26122024 ,Neutral
14082023 ,Neutral
not good i can sing bettter than him in any terms ,Negative
december 2024 merry christmas ,Neutral
25th december 2024 ,Neutral
love u pritam ,Positive
हर अच्छी फिल्म सुपरहिट नही हो सकती है।लॉकडाउन की बेस्ट फ़िल्म है। ,Positive
absolutely fire mode ,Positive
2024 present ,Neutral
meetha sa ,Positive
mushkil asan kar do mujhe apna bana lo mujhe apse behtar koi nehi lagta hain ,Positive
this movie is a masterpiece ,Positive
this movie is a masterpiece ,Positive
1243 am 2024 14 december ,Neutral
attendance ,Neutral
this masterpiece ,Positive
329 fav part ,Positive
december 2024 ,Neutral
december 2024 ,Neutral
im leaving this comment here so after a month or a year when someone likes it i get remind this masterpiece ,Positive
moye moye ,Neutral
december 4 ,Neutral
december 2024 ,Neutral
328 whole music ,Positive
who dec 2024 ,Neutral
209 and 329 ,Positive
meetha sa ye zeher main toh peeta rahoonga tu khuda na sahi main toh sajde karoongadeadly lines goosebumps ,Positive
this song has a verycool and all is well type vibes ,Positive
dec 2 2024 ,Neutral
like or reply on this comment so that i can comeback to this beauty ,Positive
any theory significance ,Neutral
in a loop right now ,Positive
song sunlo or paper solve ,Neutral
awesome movie ,Positive
november 2020 uffff my old memory ,Neutral
145 this line hits differently ,Positive
from the date of the release of this song and till now i dont know why suddenly i remember this song and play n vine in ,Positive
209 ,Positive
840 22 nov 2024 ,Neutral
135 23november 2024 ,Neutral
mujhe lag rha hai ranjeet ne final kar liya uske sath vo ab nhi ayega hmare pas ranjeet ki shadi ho jaegi ab ,Neutral
4 yrs 1 days after uploading this songs ,Neutral
327 ,Positive
i was here peak lyric 329 ,Positive
sandeep srivastava did not know how his writing for this song can melt men hearts ,Positive
16th nov 2024 at 539pm ,Neutral
anyone here for that bgm sampled yeaahhhh ooohhh ,Neutral
325 ,Positive
plz remind me always about this song by liking it ,Positive
328 ,Positive
november 13th 2024 every time i get a like i will come back to this banger ,Positive
725 13 nov 2024 ,Neutral
329 ,Positive
haye ye song ,Positive
i used to listen this song 2021 i have changed a lot then ,Neutral
november 2024 ,Neutral
nice song nice movie ,Positive
please comeback urmi babu missing u so much ,Positive
rajkumar rao story hit different ,Positive
geeta babita return ,Positive
it takes you to heaven for 441 atif india ,Positive
overt sexual display is like huge bricks falling on hand blown glass ,Neutral
damnnn this song ,Positive
love from 2k24 ,Positive
my legendary singer is arijit sir because he is my inspiration and i love there vocals so ,Positive
arijit singh pritam sandeep srivastava ,Positive
annu ,Neutral
326 ,Neutral
october 18 2024 still here ,Neutral
maine socha naya gaana hai ,Neutral
my brother used to love this song had this as his callertune for more than a year before lost him to an accident last year this song reminds me so much of our times spent together love you brother wherever you are ,Positive
hey stanger you have a good taste of music ,Positive
355 i am stuck here ,Positive
garcia charles lopez michael perez ruth ,Neutral
peak lyricism ,Positive
one of the best song with best vibe ,Positive
still dont understand why this masterpiece wasnt released on theatres ,Neutral
its a very good movie ,Positive
leaving a comment on 29 sept 24 ,Neutral
my all time arijith singh playlist ,Positive
i found this song after 2 years and it still beautiful as before ,Positive
lyrics peaked here ,Positive
wow kya ladka he ,Positive
anyone 2024 ,Neutral
both are looking soo uncomfortable why are you doing this guys your doing more meaningful than this ,Negative
khwabon ko jagah n mili aankhon mein waha pehle se hi sailaab tha this lines is best hits ,Positive
king of whol music industry ,Positive
jr bacchan is a true superstar ,Positive
the pain in the eyes of aditya roy kapoor character and rajkumar rao character is real damnnn their eyes does speak ,Positive
loving someone knowing that she will not be yours is the sweetest dumbest feeling ever u r smart enough to know that she is not ur kind of tea and also dumbest enough to love her with the bottom of ur heart ,Positive
24052028 anyone ,Neutral
jr bachhan is a true superstar ,Positive
beautiful music by pritam chakraborthy ,Positive
the most sensetive alternate romantic movie in one °ludo° in my heart like from andman ,Positive
please keep reminding me of this song ,Positive
2024 ,Neutral
jacobi station ,Neutral
i like song ,Positive
underated masterpiece ,Positive
khwabon ko jagah na milli ,Positive
whos here ,Neutral
junior b gajab ,Positive
13sep2024934am ,Neutral
bhai keh rhe hai aabad hi kardo ,Positive
whenever i hear this its always takes my stress awayyyyyyyy ,Positive
i love this song ,Positive
i love song ,Positive
hima i miss you ,Positive
leaving comment as reminder ,Neutral
anyone at 2024 ,Neutral
خوابوں کو جگانا ملی انکھوں میں وہاں پہلے سے ہی سیلاب تھا ,Positive
my favourite song ,Positive
bulbi ,Neutral
im leaving this comment so after a month or a year when someone likes it i get remind this masterpiece ,Positive
328408 im always waiting for these lines ,Positive
i’m still in love with this song ,Positive
arijitsir aap ki aavaj se sab ko hamare india ko jarur unchayi tak le gaye ,Positive
aaloo bhaiya aap great ho sach me too much ,Positive
i liked all the comments that i could in the time span of this songwhile it was playing ,Positive
melodious song in soothing voice with meaningful lyrics ,Positive
team adi and alicough ,Positive
beautiful romantic song ,Positive
anyone in 2024 ,Neutral
2080 anyone ,Neutral
329 ,Positive
any one 2024 ,Neutral
khwabon ko jagah na mili aankhon mein waha pehle se hi sailaab tha hits different lines ,Positive
in august 17 midnight 2024 ,Neutral
mushkil aasan kar du khud kyu nahi karsakta ,Neutral
best song and movie ,Positive
52 second to 110 ,Positive
anyone 2025 ,Neutral
010 ,Neutral
pritam kitna creative hai yr es ek song main kitne variation ki hai ,Positive
what a voice arijit just it ,Positive
2025 anyone ,Neutral
329 ,Positive
330 thank me later ,Neutral
sabse best raj kumar rao vali scene ,Positive
leaving this commet here so after a week or month when someone likes it i get reminded of this masterpeice ,Positive
anyone 2025 ,Neutral
my favourite song obsessed with lyrics ,Positive
amazing lyrics ,Positive
my dear billiee please come back im missing you so much everyday ,Positive
love this song ,Positive
ghar ka taane aur arijit sir ki gaane sidha dil pe lagta hai ,Positive
khwabo ko jagah nhi mili ankho me waha phle se hi selab tha ,Positive
power of amir khan sir ,Positive
any one in 12724 ,Neutral
328 ,Positive
2024 and still listening this ,Neutral
145 ,Positive
everytime whatever may be the role this man rajkumar rao nailed itloads of lovepure talent ,Positive
kon kon iss song ko after breakup sun rha h nd who love arijit singh nd tell me after which line do u remember for your ex write on comment ,Neutral
never gets old so so goood ,Positive
2024 any ,Neutral
anyone 2024 june ,Neutral
327 how precisely shows current situation of every youngster ,Positive
045apka annual ctc kitana hoga ,Neutral
byvtvrcr5 ,Neutral
ᴷʰʷᵃᵇᵒⁿ ᵏᵒ ʲᵃᵍᵃʰ ⁿᵃ ᵐⁱˡⁱ ᵃᵃⁿᵏʰᵒⁿ ᵐᵉⁱⁿ ᵂᵃʰᵃ ᴾᵉʰˡᵉ ˢᵉ ʰⁱ ˢᵃⁱˡᵃᵃᵇ ᵗʰᵃ ᵂᵒʷ ,Positive
2024 mein kon kon sun raha hai song like kardo ,Neutral
my most favourite movie anurag basu you great ,Positive
xx ,Neutral
just for aditya roy kapoor ,Positive
2024 attendance ,Neutral
who is listening this song in 2024 ,Neutral
kon kon 2024 me hain ,Neutral
328 ,Positive
या तो बरबाद कर दो या तो बरबाद कर दो या फिर आबाद कर दो या तो बरबाद कर दो या फिर आबाद कर दो वो ग़लत था ये सही है झूठ ये आज कह दो इतना एहसान कर दो इतना एहसान कर दो पूरे अरमान कर दो लब पे आकर जो रुके हैं ढाई वो हर्फ़ कह दो मेरी साँसों से जुड़ी है तेरी हर साँस कह दो मुश्किल आसान कर दो कर दो कर दो मुश्किल आसान मुश्किल आसान कर दो या तो बरबाद कर दो या फिर आबाद कर दो या तो बरबाद कर दो मीठा सा ये ज़हर मैं तो पीता रहूँगा तू ख़ुदा ना सही मैं तो सजदे करूँगा mmm mmm मीठा सा ये ज़हर मैं तो पीता रहूँगा तू ख़ुदा ना सही मैं तो सजदे करूँगा तुम जो शीरीं ना हुए क्या हम को फ़रहाद कर दो मेरी साँसों से जुड़ी है तेरी हर साँस कह दो मुश्किल आसान कर दो या तो बरबाद कर दो या फिर आबाद कर दो या तो बरबाद कर दो कह दो कह दो कह दो कह दो कह दो कह दो कह दो कह दो कह दो ख़ाबों को जगह ना मिली आँखों में वहाँ पहले से ही सैलाब था नग़्मे बनाता फ़िरा साज़ों पे दिल अपना फ़क़त मिज़राब था mmm ohoh ख़ाबों को जगह ना मिली आँखों में वहाँ पहले से ही सैलाब था नग़्मे बनाता फ़िरा साज़ों पे दिल अपना फ़क़त मिज़राब था मेरी बेजाँ हसरतों को क़ाबिलएदार कर दो मेरी साँसों से जुड़ी है तेरी हर साँस कह दो इतना एहसान कर दो कर दो कर दो इतना एहसान इतना एहसान कर दो पूरे अरमान कर दो या तो बरबाद कर दो या फिर आबाद कर दो ,Positive
i miss me ,Neutral
its night 3am and i talking with full clean sky and moon and say this lyrics to them ,Neutral
anyone in 2024 ,Neutral
sanaya ka hot kha liya ,Neutral
since 4 years but i am still addicted to this melody ,Positive
leaving a comment 25 may 2024 2150 love from ,Positive
khawabo ko jagah 328 ,Positive
2024 anyone ,Neutral
1972024 kon sun raha hai ,Neutral
after a long time im hearing this song again and again 19may2024 ,Positive
anyone may2024 ,Neutral
abhishek bachchan is a very fine actor everyone trolls him for no reason ,Positive
like me who search this masterpiece song in 2024 ,Positive
im leaving this comment here 16052024 so after a month or a year when someone likes it i get remind this masterpiece ,Positive
dil ko sukun deta hai yah song ,Positive
anyone 2034 ,Neutral
anyone may 2024 ,Neutral
what a lyrics sandeep srivastava ,Positive
addition of sarengi added a beautiful color to this song ,Positive
nice… ,Positive
vibe toh hai ,Positive
142 ,Neutral
fir bhi karge uske lite kyu ki ishpme koi nahi hota dost ,Neutral
like when u listen ,Positive
6th may monday start with this song ,Positive
please remember this song by like my comment ,Positive
anyone in 2025 listening this masterpiece ,Neutral
329 ,Positive
kitna yade judi hai ,Positive
this song is very nice today i was upset and suddenly i remember this song and i began to listen and i was really satisfied ,Positive
me and my husband love things song bcz this song matches our wives ,Positive
salute to the cinematographer ,Positive
anyone in 2024 ,Neutral
movie achhi thi ,Positive
best song ,Positive
ilove songs ,Positive
love this song ,Positive
meetha sa zeher yeh mein to peeta rhunga ,Positive
my one of fvrt ,Positive
what a song ,Positive
how many are listening this song in 2024 ,Neutral
2024 ,Neutral
nice song ,Positive
literally me when i see my crush in college ,Positive
id like to revisit ,Neutral
lock down memorys ,Neutral
porn se kuch kam nai h scenes ,Negative
im leaving this comment here so after a month or a year when someone likes it i get remind this masterpiece ,Positive
im leaving this comment here so after a month or a year when someone likes it i get remind this masterpiece ,Positive
aditya roy kapoor ,Neutral
love this song ,Positive
شیرین و فرحاد ,Neutral
26 march 2024 556pm ,Neutral
26th march 2024 0514pm im abhishek kumar tiwari ,Neutral
nice song ,Positive
2024 attendence here ,Neutral
this movie is so under ratedto come up with 4 stories link them and add comedy to it is just great and use ludo as an analogy during covid where ludo was one of the trending games was very smart all actors songs characters everything was perfect ,Positive
ye itna seb jruri hai kya ,Neutral
2024 ,Neutral
kon kon 2024 mein dekh raha hai ,Neutral
me listening this song every month since it was released highly addicted ,Positive
woh din kitne acchi the kas phir wo din pati ,Positive
llooolooooooooooooooo ,Neutral
but they should make a movie about the actual ludo movie ,Neutral
ludo sus ,Negative
okay its high time now abhishek b is one of the best actor ,Positive
who else feels life is playing ludo with them ,Neutral
very nice song ,Positive
khwaabon jagah na mili aankhon mein ,Positive
243 amazing dance ,Positive
256 that small piece of music touches a certain emotion of mineidk what it isbut im in love with it ,Positive
kon kon 2024 me sun raha hai hit like ,Neutral
only one word for th director of this movie that is genius ,Positive
i wish this movie was released in theatres ,Neutral
commenting at 99 million want to see how many days for hitting 100 million viewsarjit is always soul stealer ,Positive
kon kon 2024 me sun raha hai ,Neutral
very beautyfull song hearing again when alone ,Positive
rajkumar needs to have a seperate spin off of his character in separate movie that character is just stole my heart and yes i am a man ,Positive
this song deserves 100 million views ,Positive
arijit singh ,Positive
congratulations for 100m in advance ,Positive
arijit sir best ,Positive
2024 ,Neutral
arijit singh is a versatile genius in the whole bollywood industry ,Positive
this song is melting my heart ,Positive
rajkumaar and fatima perfect couple ,Positive
do fatima sana resembles rahul gandhi or not ,Neutral
whos listening to this is 2024 like comment✓ ,Neutral
